tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog
FRB20181018C,-9999,67.15,37.57,163.43,-7.68,18.4,-9999.0,29.4,409.2,41.7,411.1927,265.0,220.7,0.00098,0.00051,2.4,3.3,0,0.000477,-0.61,-7.6,668.2,400.2,400.2,195306.024,193642,0.378,0,0,2021
FRB20181019A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,16.2,346.1,27.8,348.778,149.8,23.9,0.00885,0.0036,0.81,10.4,0,0.00314,55.7,-51.7,800.2,555.3,685.7,1235524.394,1234229,0.434,1,0,2021
FRB20181019A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,16.2,346.1,27.8,348.778,149.8,23.9,0.00885,0.0036,0.81,10.4,1,0.00246,34.0,-38.0,800.2,491.9,630.1,1235524.394,1234229,0.434,1,0,2021
FRB20181019B,-9999,37.87,68.18,132.04,7.1,32.0,-9999.0,11.3,723.0,10.9,725.184,565.4,473.2,0.00295,0.0016,0.72,2.7,0,0.0013,1.6,-5.8,800.2,400.2,460.1,362033.657,360538,0.421,0,0,2021
FRB20181019C,-9999,244.7,66.27,98.65,39.7,29.0,-9999.0,11.5,503.0,16.2,501.6356,462.4,469.1,0.00197,0.00085,1.16,2.1,0,0.000723,-4.5,9.1,800.2,400.2,800.2,351454.668,348378,0.44,0,0,2021
FRB20181020A,-9999,322.62,78.83,113.83,19.7,61.0,59.0,11.6,1111.2,12.2,1112.473,1040.3,1033.3,0.01278,0.00153,0.8,4.9,0,0.00196,-0.3,-4.7,776.6,400.2,400.2,521954.115,522569,0.44,0,0,2021
FRB20181022C,-9999,141.56,83.81,128.56,30.89,105.0,110.0,15.0,528.9,14.2,528.473,478.6,483.8,0.00393,0.00068,0.91,3.2,0,0.0008,2.9,-14.2,664.2,400.2,443.9,337840.384,338041,0.457,0,0,2021
FRB20181022D,-9999,179.18,36.53,170.49,75.08,17.4,-9999.0,35.6,512.7,52.1,514.33426,494.2,496.7,0.00197,0.00063,2.9,6.2,0,0.000594,18.2,-14.4,800.2,505.7,754.7,398191.143,393370,0.368,0,0,2021
FRB20181022E,-9999,221.18,27.13,39.5,64.85,13.3,-9999.0,15.5,286.3,18.8,285.986,264.2,263.9,0.00295,0.000632,0.69,2.08,0,0.0004,8.7,-42.3,560.3,400.2,443.7,401097.555,400057,0.357,0,0,2021
FRB20181025A,-9999,105.78,64.25,151.66,25.49,28.0,-9999.0,18.8,590.4,20.8,592.5644,530.9,529.5,0.00197,0.000257,1.52,2.68,0,0.000355,-3.15,-0.1,800.2,400.2,400.2,374899.121,373913,0.399,0,0,2021
